iter	Passed	Remaining
0	39	1954
1	54	1316
2	66	1048
3	74	859
4	92	836
5	97	712
6	111	687
7	154	809
8	169	771
9	220	881
10	231	821
11	247	783
12	254	725
13	278	714
14	296	692
15	308	655
16	331	643
17	342	609
18	357	583
19	368	553
20	395	545
21	438	557
22	488	573
23	499	541
24	543	543
25	574	530
26	616	525
27	661	519
28	698	505
29	709	473
30	724	444
31	739	415
32	750	386
33	785	369
34	827	354
35	870	338
36	912	320
37	931	294
38	975	275
39	994	248
40	1036	227
41	1058	201
42	1080	175
43	1123	153
44	1153	128
45	1164	101
46	1209	77
47	1255	52
48	1299	26
49	1343	0
