iter	Accuracy	Logloss
0	0.7733918129	0.6836893526
1	0.769005848	0.675033883
2	0.769005848	0.6666628125
3	0.764619883	0.6595586384
4	0.764619883	0.6524547342
5	0.764619883	0.6461112178
6	0.764619883	0.6391176576
7	0.764619883	0.6326410678
8	0.764619883	0.6264911589
9	0.764619883	0.6204160687
10	0.764619883	0.6154266023
11	0.764619883	0.609847428
12	0.764619883	0.6054666595
13	0.764619883	0.6008737081
14	0.764619883	0.5965484618
15	0.764619883	0.592103521
16	0.764619883	0.5876255279
17	0.764619883	0.5837947759
18	0.764619883	0.5800249519
19	0.764619883	0.5764349445
20	0.764619883	0.5731696991
21	0.764619883	0.569374607
22	0.764619883	0.5631291036
23	0.764619883	0.5590546224
24	0.764619883	0.5542669587
25	0.764619883	0.549909229
26	0.764619883	0.545006589
27	0.764619883	0.5403473222
28	0.764619883	0.5360868474
29	0.764619883	0.5328416215
30	0.764619883	0.529828369
31	0.764619883	0.5268749242
32	0.764619883	0.523999693
33	0.764619883	0.520522838
34	0.764619883	0.5169045876
35	0.7660818713	0.5129980056
36	0.7704678363	0.5095680891
37	0.7704678363	0.5067419006
38	0.7733918129	0.5035568124
39	0.7748538012	0.5009344627
40	0.7763157895	0.4976132508
41	0.7763157895	0.4950499771
42	0.7763157895	0.4931937153
43	0.7763157895	0.4901130907
44	0.7792397661	0.4874302129
45	0.7792397661	0.4856990211
46	0.783625731	0.483487331
47	0.783625731	0.4813769622
48	0.783625731	0.4791701896
49	0.7850877193	0.4767093628
